epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.40171295404434204,1.7545417547225952,1e-04,0.6796296238899231,0.9552879333496094
1,0.5843055844306946,1.2377283573150635,1e-04,0.7207407355308533,0.7885558009147644
2,0.6557407379150391,1.0337648391723633,1e-04,0.7570370435714722,0.7278956174850464
3,0.6908796429634094,0.9203199148178101,1e-04,0.7729629874229431,0.6774934530258179
4,0.7180092334747314,0.852037787437439,1e-04,0.7929629683494568,0.6257143616676331
5,0.7399073839187622,0.7955540418624878,1e-04,0.7933333516120911,0.6351042985916138
6,0.7514351606369019,0.7501731514930725,1e-04,0.7677778005599976,0.7558160424232483
7,0.7655555605888367,0.7193479537963867,1e-04,0.8229629397392273,0.5473260879516602
8,0.7800925970077515,0.6882327795028687,1e-04,0.835185170173645,0.5152317881584167
9,0.7877777814865112,0.6623417139053345,1e-04,0.7781481742858887,0.6837658882141113
10,0.7975925803184509,0.6341702342033386,1e-04,0.8162962794303894,0.5650144815444946
11,0.8031018376350403,0.6141349673271179,1e-04,0.8359259366989136,0.5090343952178955
12,0.8113889098167419,0.5989898443222046,1e-04,0.8381481766700745,0.498583048582077
13,0.8143055438995361,0.5865219235420227,1e-04,0.855555534362793,0.43542027473449707
14,0.8231944441795349,0.5563991069793701,1e-04,0.8666666746139526,0.405433714389801
15,0.8270833492279053,0.5508429408073425,1e-04,0.8448148369789124,0.49039971828460693
16,0.8300462961196899,0.5404972434043884,1e-04,0.8748148083686829,0.4034470319747925
17,0.8396759033203125,0.5181172490119934,1e-04,0.8766666650772095,0.3916430175304413
18,0.8417129516601562,0.5108914971351624,1e-04,0.8544444441795349,0.46043848991394043
19,0.8469907641410828,0.49417024850845337,1e-04,0.877407431602478,0.3980557918548584
20,0.851805567741394,0.4776689410209656,1e-04,0.8766666650772095,0.4014109969139099
21,0.8683333396911621,0.4306766390800476,5e-05,0.8918518424034119,0.33689919114112854
22,0.8713889122009277,0.42585647106170654,5e-05,0.8837037086486816,0.35180526971817017
23,0.8711574077606201,0.41862034797668457,5e-05,0.8866666555404663,0.3574655055999756
24,0.8779629468917847,0.4096794128417969,5e-05,0.8970370292663574,0.32468315958976746
